No.,普通名稱TW,普通名稱CN,英文普通名
499,佈飛賽滅寧,丙溴磷+氯氰菊酯,Profenofos + cypermethrin
500,佈飛百滅寧,丙溴磷+氯菊酯,Profenofos + permethrin
501,茉莉酸丙酯,,Prohydrojasmon
502,普拔克,霜霉威,Propamocarb hydrochloride
503,除草靈,敌稗,Propanil
504,加護松,丙虫磷,Propaphos
505,加護賽滅寧,氯氰菊酯,Propaphos + cypermethrin
506,加護滅必蝨,丙虫磷+,Propaphos + mipc
507,加護雙必蝨,丙虫磷+,Propaphos + mipc + bpmc
508,加護福化利,丙虫磷+氟胺腈菊酯,Propaphos + tau-fluvalinate
509,普拔草,恶草酸,Propaquizafop
510,毆蟎多,炔螨特,Propargite
511,普拔根,扑灭津,Propazine
512,普克利,丙环唑,Propiconazole
513,甲基鋅乃浦,丙森锌,Propineb
514,甲鋅毆殺斯,丙森锌+恶霜灵,Propineb + oxadixyl
515,甲鋅保粒素,丙森锌+多氧霉素,Propineb + polyoxin b
516,甲鋅保淨,丙森锌+甲基硫菌灵,Propineb + thiophanate-methyl
517,安丹,残杀威,Propoxur
518,普硫松,丙硫磷,Prothiofos
519,派滅淨,吡蚜酮,Pymetrozine
520,白克松,吡唑硫磷,Pyraclofos
521,百克敏,百克敏,Pyraclostrobin
522,白列克敏,百克敏+啶酰菌胺,Pyraclostrobin + boscalid
523,達滅克敏,百克敏+烯酰吗啉,Pyraclostrobin + dimethomorph
524,腈硫克敏,百克敏+二氰蒽醌,Pyraclostrobin + dithianon
525,乙基派芬草,霸草灵,Pyraflufen-ethyl
526,白粉松,吡菌磷,Pyrazophos
527,百速隆,吡嘧磺隆,Pyrazosulfuron-ethyl
528,普芬草,苄草唑,Pyrazoxyfen
529,除蟲菊精,除虫菊酯,Pyrethrins
530,畢達本,哒螨灵,Pyridaben
531,必芬松,哒嗪硫磷,Pyridaphenthion
532,必芬治,哒嗪硫磷+,Pyridaphenthion + mtmc
533,必汰草,哒草特,Pyridate
534,必汰草脫淨,哒草特+莠去津,Pyridate + atrazine
535,比芬諾,啶斑肟,Pyrifenox
536,派美尼,嘧霉胺,Pyrimethanil
537,畢汰芬,嘧螨醚,Pyrimidifen
538,百利普芬,吡丙醚,Pyriproxyfen
539,百快隆,咯喹酮,Pyroquilon
540,拜裕松,喹硫磷,Quinalphos
541,快克草,二氯喹啉酸,Quinclorac
542,歐硫素,○,Quinoline-sulfate
543,快諾芬,喹氧灵,Quinoxyfen
544,快伏草,喹禾灵,Quizalofop-p-ethyl
545,魚藤精,鱼藤酮,Rotenone
546,菸甲蟲費洛蒙,,Serricornin
547,西殺草,烯禾啶,Sethoxydim
548,矽護芬,氟硅菊酯,Silafluofen
549,草滅淨,西玛津,Simazine
550,美賜平,,S-methoprene
551,左旋莫多草,左异丙甲草胺,S-metolachlor
552,賜諾殺,艾克敌,Spinosad
553,賜諾特,乙基多杀菌素,Spinetoram
554,賜派芬,螺螨酯,Spirodiclofen
555,純白鏈黴菌素,,STREPTOMYCES CANDIDUS of Y21007-2
556,鏈黴素,链霉素,Streptomycin
557,鏈土黴素,链霉素+○,Streptomycin-oxyteracycline
558,可濕性硫黃,,Sulfur
559,福化利,氟胺氰菊酯,Tau-fluvalinate
560,佈生,苯噻硫氰,Tcmtb
561,得克利,戊唑醇,Tebuconazole
562,得芬諾,虫酰肼,Tebufenozide
563,得芬瑞,吡螨胺,Tebufenpyrad
564,克枯爛,叶枯酞,Tecloftalam
565,嘉賜克枯爛,叶枯酞+春雷霉素,Tecloftalam + kasugamycin
566,克枯三賽唑,叶枯酞+三环唑,Tecloftalam + tricyclazole
567,得福隆,氟苯脲,Teflubenzuron
568,得福化利,氟苯脲+氟胺腈菊酯,Teflubenzuron + tau-fluvalinate
569,亞培松,双硫磷,Temephos
570,得殺草,得杀草,Tepraloxydim
571,托福松,特丁硫磷,Terbufos
572,托福毆殺滅,特丁硫磷+杀线威,Terbufos + oxamyl
573,叔丁基滅必蝨,TERT-仲丁威,Tert-fenobucarb
574,四克利,四氯醚唑,Tetraconazole
575,四環黴素,,Tetracycline
576,治滅寧 １,胺菊酯,Tetramethrin
577,欣克草,噻吩草胺,Thenylchlor
578,欣克免速隆,噻吩草胺+苄嘧磺隆,Thenylchlor + bensulfuronmethyl
579,腐絕,噻菌灵,Thiabendazole
580,銅合腐絕,噻菌灵+○,Thiabendazole + cupric hydroxide
581,腐絕快得寧,噻菌灵+喹啉铜,Thiabendazole + oxine-copper
582,賽果培,噻虫啉,Thiacloprid
583,賽速安,噻虫嗪,Thiamethoxam
584,賽氟滅,噻呋酰胺,Thifluzamide
585,殺丹,禾草丹,Thiobencarb
586,殺丹免速隆,禾草丹+苄嘧磺隆,Thiobencarb + bensulfuron-methyl
587,丁拉殺丹,禾草丹+丁草胺,Thiobencarb + butachlor
588,殺萘丹,杀草丹+萘丙胺,Thiobencarb + naproanilide
589,佈殺丹,禾草丹+,Thiobencarb + prometryne
590,硫賜安,杀虫环,Thiocyclam hydrogenoxalate
591,硫敵克,禾草丹,Thiodicarb
592,硫敵芬化利,禾草丹+氰戊菊酯,Thiodicarb + fenvalerate
593,硫伐隆,久效威,Thiofanox
594,硫滅松,甲基乙拌磷,Thiometon
595,甲基多保淨,甲基硫菌灵,Thiophanate-methyl
596,四氯保淨,甲基硫菌灵+百菌清,Thiophanate-methyl + chlorothalonil
597,快得保淨,甲基硫菌灵+喹啉铜,Thiophanate-methyl + oxine-copper
598,多保鏈黴素,甲基硫菌灵+链霉素,Thiophanate-methyl + streptomycin
599,多得淨,甲基硫菌灵+福美双,Thiophanate-methyl + thiram
600,得恩地,福美双,Thiram
601,脫克松,甲基立枯磷,Tolclofos-methyl
602,脫芬瑞,,Tolfenpyrad
603,甲基益發靈,甲苯氟磺胺,Tolylfluanid
604,泰滅寧,四溴菊酯,Tralomethrin
605,三泰芬,三唑醇,Triadimefon
606,三泰隆,三唑醇,Triadimenol
607,三落松,三唑磷,Triazophos
608,三元硫酸銅,,Tribasic copper sulfate
609,三元銅克絕,#NAME?,Tribasic copper sulfate + cymoxanil
610,三氯松,敌百虫,Trichlorfon
611,三氯比,三氯吡氧乙酸,Triclopyr
612,丁拉氯比,三氯吡氧乙酸+丁草胺,Triclopyr + butachlor
613,三賽唑,三环唑,Tricyclazole
614,三得芬,十三吗啉,Tridemorph
615,三得寧,十三吗啉+嗪氨灵,Tridemorph + triforine
616,三氟敏,布洛芬,Trifloxystrobin
617,三氟得克利,布洛芬+戊唑醇,Trifloxystrobin + tebuconazole
618,賽福座,氟菌唑,Triflumizole
619,賽福保淨,氟菌唑+甲基硫菌灵,Triflumizole + thiophanate-methyl
620,三福林,氟乐磷,Trifluralin
621,三覆爾,氟乐灵+○,Trifluralin + mcpa
622,賽福寧,嗪氨灵,Triforine
623,單克素,烯效唑,Uniconazole-p
624,維利黴素,有效霉素,Validamycin
625,維利熱必斯,有效霉素+四氯苯酞,Validamycin + phthalide
626,繁米松,蚜灭磷,Vamidothion
627,免克寧,乙烯菌核利,Vinclozolin
628,免得克寧,乙烯菌核利+代森联,Vinclozolin + metiram
629,殺鼠靈,,Warfarin
630,甲氧基護谷,甲氧除草醚,X-52
631,滅克蝨,灭除威,Xmc
632,滅爾蝨,灭杀威,Xylylcarb
633,傑他賽滅寧,Zeta-氯氰菊酯,Zeta-cypermethrin
634,鋅波爾多,锌+波尔多,Zn + BORDEAUX
635,因汀氟滅,氟苯虫酰胺+甲氨基阿维菌素苯甲酸盐,Flubendiamide+emamectin benzoate
636,氟大滅,氟虫双酰胺,Flubendiamide
